Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
M. GRIGONIS,SG/SF,PAO,5.82,1.0,0.3,1.1,0.3,1.1,0.0,0.0,0.2,0.5,0.7,0.3,0.3,0.1,0.0,0.9
J. HERNANGOMEZ,PF/C,PAO,24.45,8.0,3.2,5.4,0.4,1.0,1.1,1.5,2.1,4.4,6.5,0.7,0.5,0.8,0.3,1.2
K. MITOGLOU,PF,PAO,12.93,4.8,1.7,3.9,0.3,1.3,1.1,1.3,0.9,1.9,2.8,0.5,0.5,0.4,0.3,1.5
O. YURTSEVEN,C,PAO,12.65,6.3,2.5,4.0,0.0,0.0,1.2,1.5,1.3,2.2,3.5,0.6,0.7,0.4,0.6,2.0
THOMAS WALKUP,PG,OSFP,23.97,5.3,1.8,4.3,0.7,2.0,1.1,1.4,0.7,1.9,2.6,5.9,1.5,0.9,0.0,2.3
FRANK NTILIKINA,PG/SG,OSFP,16.4,4.5,1.3,3.5,0.9,2.3,1.0,1.2,0.5,0.6,1.1,1.6,1.2,0.5,0.4,2.9
KEENAN EVANS,PG,OSFP,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYSON WARD,SG/SF,OSFP,19.38,7.0,2.5,5.9,0.6,2.4,1.3,1.9,0.7,2.3,2.9,2.4,1.0,0.6,0.2,2.4
GIANNOULIS LARENTZAKIS,SG,OSFP,2.98,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.3,0.0,0.0,0.6
SABEN LEE,PG,OSFP,11.4,3.4,1.1,2.9,0.7,1.8,0.5,0.6,0.0,0.4,0.4,1.4,1.3,0.4,0.1,1.2
MOUSTAPHA FALL,C,OSFP,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,2.5,0.0,0.0,1.0,0.0
MONTE MORRIS,PG,OSFP,11.53,1.6,0.6,2.0,0.0,0.0,0.4,0.7,0.2,1.0,1.2,1.4,0.5,0.1,0.1,1.0
SASHA VEZENKOV,PF,OSFP,27.92,19.2,7.4,13.0,1.2,2.9,3.2,3.5,1.5,5.0,6.5,1.3,1.1,0.6,0.1,0.8
KOSTAS PAPANIKOLAOU,SF,OSFP,14.43,3.1,1.1,2.9,0.8,2.4,0.1,0.4,0.3,1.5,1.8,1.7,1.0,0.4,0.1,1.6
OMIROS NETZIPOGLOU,SG,OSFP,3.63,0.5,0.2,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
TYLER DORSEY,SG,OSFP,25.63,16.2,5.8,12.3,2.0,5.0,2.6,3.3,0.5,1.8,2.3,2.7,1.9,0.8,0.1,1.9
ALEC PETERS,PF,OSFP,14.98,7.1,2.4,4.5,0.8,2.0,1.5,1.8,0.6,2.2,2.8,1.0,0.8,0.5,0.0,1.8
NIKOLA MILUTINOV,C,OSFP,21.53,10.3,3.7,5.4,0.0,0.0,2.9,3.7,3.1,3.9,7.0,1.4,0.7,0.6,0.6,0.6
CORY JOSEPH,PG,OSFP,15.63,5.9,1.8,4.0,0.7,2.1,1.5,1.9,0.5,1.4,1.9,2.3,1.3,0.4,0.1,1.9
KOSTAS ANTETOKOUNMPO,PF/C,OSFP,5.67,1.5,0.8,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.5,1.0,0.2,0.0,0.0,1.2
DONTA HALL,C,OSFP,15.62,7.1,2.8,3.7,0.0,0.0,1.4,1.8,1.8,2.9,4.7,0.7,0.5,0.4,0.9,1.8
SHAQUIELLE MCKISSIC,SG/SF,OSFP,11.9,4.4,1.6,3.8,0.5,2.1,0.7,1.1,0.3,0.9,1.2,1.5,0.4,0.8,0.0,1.1
TYRIQUE JONES,C,OSFP,15.68,7.1,2.7,3.9,0.0,0.0,1.7,2.5,1.9,2.2,4.1,1.3,1.1,1.1,0.5,2.6
EVAN FOURNIER,SG/SF,OSFP,21.72,11.5,4.4,10.2,1.4,3.8,1.3,1.6,0.4,1.5,1.9,2.9,1.7,0.8,0.1,2.1
NEMANJA DANGUBIC,SF,DUBAI,7.67,1.1,0.3,1.6,0.3,1.6,0.1,0.3,0.8,0.9,1.6,0.4,0.1,0.0,0.0,1.8
DWAYNE BACON,SG/SF,DUBAI,29.37,16.2,5.9,14.1,1.4,4.5,2.9,3.7,0.6,3.5,4.1,2.4,2.2,0.8,0.2,2.5
ALEKSA AVRAMOVIC,PG/SG,DUBAI,17.02,9.3,3.4,7.4,1.0,2.9,1.5,1.9,0.6,1.4,2.0,3.0,1.3,1.3,0.1,1.7
AWUDU ABASS,SF,DUBAI,16.37,3.2,1.1,2.9,0.8,2.4,0.3,0.4,0.7,0.8,1.5,0.5,0.3,0.3,0.1,1.6
KLEMEN PREPELIC,SG,DUBAI,13.43,3.6,0.9,2.8,0.9,2.8,0.9,1.1,0.1,1.0,1.1,1.8,0.7,0.4,0.0,2.5
DAVIS BERTANS,PF,DUBAI,18.63,8.0,3.2,7.4,0.7,2.1,0.9,1.1,0.5,1.9,2.4,1.1,0.5,0.1,0.4,2.2
BOOGIE ELLIS,PG/SG,DUBAI,17.77,10.4,3.5,8.0,1.2,3.0,2.2,2.7,0.8,1.2,2.0,1.2,0.6,0.6,0.0,2.8
JUSTIN ANDERSON,SF,DUBAI,23.47,6.1,2.1,4.6,1.3,3.2,0.6,0.7,0.8,2.2,3.0,1.3,0.6,0.4,0.5,2.6
KOSTA KONDIC,PG,DUBAI,11.75,4.4,1.5,3.3,0.6,1.9,0.8,1.0,0.3,0.9,1.2,1.1,0.4,0.8,0.0,2.1
DZANAN MUSA,SG/SF,DUBAI,26.68,14.3,5.1,10.7,1.5,4.2,2.6,3.0,1.3,2.4,3.7,3.2,1.6,0.6,0.2,2.0
SERTAC SANLI,C,DUBAI,7.83,2.4,0.8,1.2,0.1,0.2,0.7,0.7,0.3,0.7,1.0,0.0,0.4,0.0,0.0,1.9
MFIONDU KABENGELE,C,DUBAI,22.23,14.2,5.7,9.3,0.1,0.2,2.7,3.3,2.0,4.1,6.1,1.2,1.0,0.7,0.7,2.6
TARAN ARMSTRONG,PG,DUBAI,5.7,0.6,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.6,0.7,0.3,0.6,0.1,0.0,1.4
MCKINLEY WRIGHT IV,PG,DUBAI,29.55,12.7,4.7,9.3,1.0,2.7,2.3,2.7,0.4,2.3,2.7,6.1,2.0,1.0,0.2,2.8
FILIP PETRUSEV,PF/C,DUBAI,23.48,11.6,4.1,7.5,0.4,1.1,3.0,3.7,1.2,3.6,4.8,1.5,1.1,0.6,0.4,1.9
MATT RYAN,SG/SF,DUBAI,6.38,4.0,1.5,3.4,0.9,2.8,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0
DANILO ANDJUSIC,SG,DUBAI,4.0,2.0,0.2,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KENAN KAMENJAS,C,DUBAI,10.85,4.1,1.6,2.9,0.0,0.0,0.9,1.3,1.2,2.1,3.4,0.5,0.6,0.3,0.0,1.3
BRUNO CABOCLO,PF/C,DUBAI,12.72,6.3,2.3,3.1,0.8,1.0,0.8,1.2,1.1,2.0,3.1,0.5,0.5,0.0,0.7,2.9
ARMANDO BACOT JR.,C,FENER,10.12,2.4,0.9,2.1,0.1,0.2,0.6,0.7,0.8,1.0,1.8,0.6,1.0,0.3,0.3,2.0
METECAN BIRSEN,SF/PF,FENER,11.23,2.4,0.6,1.8,0.6,1.8,0.5,0.6,0.6,1.5,2.2,0.3,0.5,0.3,0.1,1.6
WADE BALDWIN IV,PG/SG,FENER,25.72,14.1,5.3,11.6,1.0,3.5,2.5,3.2,0.7,2.5,3.1,5.5,2.4,0.7,0.4,1.6
SCOTTIE WILBEKIN,PG/SG,FENER,14.82,7.7,2.8,5.7,1.4,3.1,0.8,1.6,0.3,0.3,0.7,1.3,1.0,0.8,0.0,2.2
NICOLO MELLI,PF/C,FENER,23.48,7.2,2.8,5.4,0.5,1.1,1.2,2.2,1.5,4.2,5.7,1.6,1.3,0.8,0.5,2.8
TALEN HORTON TUCKER,SG/SF,FENER,23.67,15.7,6.1,12.5,0.9,3.3,2.6,3.5,1.1,2.6,3.7,2.2,2.2,0.7,0.5,2.4
MELIH MAHMUTOGLU,SG,FENER,5.97,2.1,0.6,2.1,0.6,2.1,0.2,0.2,0.1,0.3,0.4,0.1,0.3,0.0,0.0,0.4
BRANDON BOSTON JR.,SG/SF,FENER,11.82,4.8,1.7,4.2,0.9,2.9,0.5,0.7,0.7,0.9,1.6,0.3,0.4,0.5,0.2,1.3
NANDO DE COLO,PG/SG,FENER,17.33,10.1,3.3,6.1,1.6,3.4,1.9,2.0,0.2,1.2,1.4,2.4,1.6,0.2,0.0,1.8
TARIK BIBEROVIC,SF,FENER,24.2,11.2,4.3,9.1,1.7,4.0,0.9,0.9,0.6,2.4,2.9,1.3,1.4,0.4,0.1,2.1
ONURALP BITIM,SG/SF,FENER,10.97,2.8,0.8,2.3,0.8,2.3,0.3,0.5,0.2,1.2,1.4,0.3,0.4,0.4,0.2,1.6
MIKAEL JANTUNEN,PF,FENER,18.73,5.4,1.6,3.8,0.6,1.8,1.6,1.9,1.1,2.1,3.3,0.7,0.7,0.4,0.2,3.2
DEVON HALL,SG/SF,FENER,25.3,8.6,3.0,6.6,0.8,2.6,1.9,2.3,1.1,1.8,2.9,2.7,1.9,0.5,0.1,2.4
CHRIS SILVA,PF/C,FENER,8.73,4.5,1.6,2.5,0.0,0.0,1.3,1.5,0.8,0.9,1.7,0.4,0.9,0.3,0.1,1.9
ARTURS ZAGARS,PG,FENER,11.27,3.4,0.8,2.5,0.3,1.4,1.4,1.7,0.0,0.2,0.2,1.6,1.0,0.6,0.0,0.8
BONZIE COLSON,SF/PF,FENER,17.15,7.3,2.4,4.8,1.5,3.0,1.1,1.2,0.8,2.2,3.0,0.8,0.5,0.6,0.4,1.2
KHEM BIRCH,C,FENER,16.73,3.9,1.5,2.3,0.0,0.0,1.0,1.4,1.5,2.5,4.0,0.5,1.0,0.3,0.4,3.1
TREY LYLES,PF,REAL,20.87,13.1,4.6,9.0,1.3,2.9,2.6,3.3,1.0,3.3,4.4,1.6,1.4,0.5,0.5,1.7
DAVID KRAMER,SG,REAL,11.33,2.5,0.8,2.4,0.8,2.4,0.2,0.4,0.4,0.9,1.2,0.9,0.4,0.2,0.0,2.0
ALBERTO ABALDE,SG/SF,REAL,15.52,4.4,1.3,2.8,1.3,2.8,0.4,0.5,0.5,1.0,1.5,1.2,0.7,0.4,0.0,1.8
FACUNDO CAMPAZZO,PG,REAL,24.43,12.3,4.1,9.1,1.3,3.1,2.7,3.2,0.3,1.7,2.0,5.0,2.0,1.1,0.0,2.1
CHUMA OKEKE,PF,REAL,17.75,5.8,2.3,4.3,0.7,1.9,0.5,0.7,1.5,2.4,3.9,0.8,0.3,0.6,0.5,0.9
GABRIELE PROCIDA,SG/SF,REAL,5.65,1.9,0.6,1.5,0.6,1.5,0.1,0.1,0.3,0.3,0.6,0.1,0.1,0.0,0.0,0.6
MARIO HEZONJA,SF/PF,REAL,22.17,12.9,5.1,11.2,1.0,3.2,1.8,2.2,0.5,3.4,4.0,2.3,1.8,0.8,0.0,1.7
THEO MALEDON,PG/SG,REAL,17.07,9.3,3.0,6.8,0.9,2.9,2.4,2.8,0.4,1.8,2.2,3.0,1.3,0.6,0.1,2.0
IZAN ALMANSA,PF/C,REAL,4.65,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5
GABRIEL DECK,SF/PF,REAL,20.23,6.9,2.4,4.7,0.9,2.5,1.1,1.3,0.9,2.6,3.5,1.2,0.8,0.4,0.0,1.6
USMAN GARUBA,PF/C,REAL,12.23,5.3,2.0,3.2,0.6,1.0,0.7,1.1,1.2,1.5,2.7,0.5,0.7,0.8,0.7,1.9
BRUNO FERNANDO,C,REAL,10.42,4.4,1.8,2.7,0.0,0.0,0.8,1.2,1.0,2.4,3.4,0.8,1.2,0.2,0.2,2.6
WALTER TAVARES,C,REAL,22.75,9.6,3.7,5.3,0.0,0.0,2.3,3.1,2.5,4.1,6.6,0.6,1.6,0.6,1.8,2.5
SERGIO LLULL,PG/SG,REAL,10.92,3.2,1.2,3.7,0.4,1.6,0.4,0.6,0.2,0.6,0.8,1.5,0.6,0.2,0.0,1.0
ANDRES FELIZ,PG,REAL,16.3,6.5,2.4,5.1,1.0,2.4,0.7,1.0,0.8,1.5,2.4,2.0,0.9,0.6,0.0,1.9
ALEX LEN,C,REAL,9.17,3.0,1.1,2.1,0.0,0.0,0.8,1.0,1.0,1.0,2.0,0.3,0.6,0.1,0.9,1.4
GUNARS GRINVALDS,PG,REAL,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CODI MILLER-MCINTYRE,PG,CREVA,30.93,12.6,5.1,10.8,0.9,2.7,1.5,2.4,0.8,3.6,4.5,7.4,2.8,1.0,0.1,2.5
UROS PLAVSIC,C,CREVA,5.07,1.0,0.4,1.3,0.0,0.0,0.3,0.6,0.7,0.9,1.6,0.4,0.6,0.1,0.0,1.4
STEFAN MILJENOVIC,PG,CREVA,6.88,2.2,0.5,1.6,0.5,1.6,0.7,0.9,0.1,0.7,0.8,0.7,0.3,0.2,0.1,1.3
DEVONTE GRAHAM,PG,CREVA,11.37,3.0,1.3,6.9,0.3,1.3,0.1,0.6,0.3,1.0,1.3,1.1,0.9,0.3,0.1,0.9
JARED BUTLER,PG/SG,CREVA,20.0,13.4,5.2,11.1,1.2,3.4,1.8,2.2,0.6,1.6,2.2,3.7,1.9,0.7,0.1,2.6
DEJAN DAVIDOVAC,SF/PF,CREVA,14.23,2.6,0.8,1.8,0.8,1.8,0.3,0.5,0.8,1.3,2.1,0.4,0.2,0.4,0.1,1.7
TYSON CARTER,SG,CREVA,14.68,4.9,1.6,4.9,1.0,3.2,0.7,0.7,0.5,0.9,1.4,1.5,1.2,0.4,0.0,1.9
NIKOLA KALINIC,SF/PF,CREVA,23.15,5.8,1.9,4.3,1.1,2.8,0.9,1.4,1.1,2.4,3.5,1.8,1.5,0.5,0.3,2.7
OGNJEN DOBRIC,SG/SF,CREVA,12.5,5.0,1.4,3.2,1.4,3.2,0.7,0.7,0.8,1.0,1.8,0.3,0.2,0.4,0.0,1.3
JASIEL RIVERO,PF/C,CREVA,9.82,4.8,2.0,3.4,0.0,0.0,0.7,1.1,0.7,1.0,1.7,0.1,0.3,0.1,0.0,1.2
EBUKA IZUNDU,C,CREVA,14.38,8.0,3.3,4.6,0.0,0.0,1.4,1.9,2.4,1.8,4.2,0.4,0.6,0.4,0.5,2.6
DONATAS MOTIEJUNAS,PF/C,CREVA,12.55,6.1,2.1,3.7,0.3,0.9,1.6,2.7,0.8,1.0,1.8,0.8,0.7,0.3,0.0,1.1
JOEL BOLOMBOY,C,CREVA,14.45,5.5,2.2,3.7,0.1,0.2,1.0,1.4,2.0,2.5,4.5,0.3,1.1,0.4,0.5,1.5
JORDAN NWORA,SF/PF,CREVA,27.12,16.9,6.5,13.2,1.3,3.7,2.6,3.2,0.7,3.7,4.4,1.6,2.2,1.1,0.3,1.9
SEMI OJELEYE,SF/PF,CREVA,22.92,7.2,2.6,5.7,0.9,2.6,1.1,1.5,1.7,1.8,3.6,0.8,0.7,0.5,0.4,1.9
OGNJEN RADOSIC,PG,CREVA,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIMA MONEKE,PF,CREVA,26.9,13.9,4.9,8.9,0.9,2.6,3.3,4.3,1.7,4.8,6.5,2.0,1.8,1.0,0.4,2.6
YAGO DOS SANTOS,PG,CREVA,10.75,2.6,0.8,3.3,0.3,1.3,0.7,0.7,0.2,0.6,0.8,2.2,1.2,0.2,0.0,1.4
